G#,Date,Tm,Opp,Result,Pos,Cmp,Att,Yds,TD,Att,Yds,TD,Cmp,Att,Yds,TD,Att,Yds,TD,Num,Pct,Num,Pct,Num,Pct,FantPt
1,2015-09-13,GNB,CHI,W 31-23,QB,4,4,24,3,1,1,0,3,3,1,2,0,0,0,59,100.0%,0,0.0%,0,0.0%,23.06
2,2015-09-20,GNB,SEA,W 27-17,QB,4,6,21,1,1,1,0,1,3,0,1,1,1,0,71,100.0%,0,0.0%,0,0.0%,22.26
3,2015-09-28,GNB,KAN,W 38-28,QB,4,6,19,4,1,5,0,4,5,0,4,1,5,0,76,100.0%,0,0.0%,0,0.0%,34.92
4,2015-10-04,GNB,SFO,W 17-3,QB,1,6,9,1,1,17,0,1,1,0,1,0,0,0,73,100.0%,0,0.0%,0,0.0%,16.26
5,2015-10-11,GNB,STL,W 24-10,QB,,,,,,,,,,,,,,,62,100.0%,0,0.0%,0,0.0%,15.54
6,2015-10-18,GNB,SDG,W 27-20,QB,4,8,19,2,0,0,0,3,4,1,2,0,0,0,53,100.0%,0,0.0%,0,0.0%,19.6
7,2015-11-01,GNB,DEN,L 10-29,QB,,,,,,,,,,,,,,,51,96.2%,0,0.0%,0,0.0%,6.18
8,2015-11-08,GNB,CAR,L 29-37,QB,3,8,12,2,1,5,0,2,5,1,2,1,5,0,77,100.0%,0,0.0%,0,0.0%,32.96
9,2015-11-15,GNB,DET,L 16-18,QB,2,3,15,2,0,0,0,1,2,0,1,0,0,0,87,100.0%,0,0.0%,0,0.0%,22.12
10,2015-11-22,GNB,MIN,W 30-13,QB,2,6,11,1,0,0,0,0,0,0,0,0,0,0,77,100.0%,0,0.0%,0,0.0%,19.08
11,2015-11-26,GNB,CHI,L 13-17,QB,4,10,31,0,0,0,0,0,5,0,0,0,0,0,78,100.0%,0,0.0%,0,0.0%,13.38
12,2015-12-03,GNB,DET,W 27-23,QB,5,7,13,1,1,17,1,1,1,0,1,0,0,0,67,100.0%,0,0.0%,0,0.0%,25.62
13,2015-12-13,GNB,DAL,W 28-7,QB,3,6,30,2,1,0,0,1,3,0,1,1,0,0,85,97.7%,0,0.0%,0,0.0%,19.42
14,2015-12-20,GNB,OAK,W 30-20,QB,2,11,12,0,0,0,0,0,5,0,0,0,0,0,76,100.0%,0,0.0%,0,0.0%,10.06
15,2015-12-27,GNB,ARI,L 8-38,QB,3,6,6,0,0,0,0,2,4,0,0,0,0,0,66,91.7%,0,0.0%,0,0.0%,7.94
16,2016-01-03,GNB,MIN,L 13-20,QB,4,10,25,1,0,0,0,0,0,0,0,0,0,0,79,100.0%,0,0.0%,0,0.0%,12.84
1,2016-09-11,GNB,JAX,W 27-23,QB,4,7,13,1,1,6,1,3,4,1,1,1,6,1,64,100.0%,0,0.0%,0,0.0%,23.56
2,2016-09-18,GNB,MIN,L 14-17,QB,1,3,1,1,1,10,1,1,2,1,1,0,0,0,71,100.0%,0,0.0%,0,0.0%,17.42
3,2016-09-25,GNB,DET,W 34-27,QB,4,7,41,4,0,0,0,2,3,0,2,0,0,0,54,100.0%,0,0.0%,0,0.0%,26.4
4,2016-10-09,GNB,NYG,W 23-16,QB,1,5,2,1,1,11,0,1,3,0,1,0,0,0,80,100.0%,0,0.0%,0,0.0%,15.86
5,2016-10-16,GNB,DAL,L 16-30,QB,3,5,25,1,1,-3,0,1,1,0,1,1,-3,0,70,100.0%,0,0.0%,0,0.0%,12.46
6,2016-10-20,GNB,CHI,W 26-10,QB,8,12,30,3,1,8,0,5,8,0,3,0,0,0,87,100.0%,0,0.0%,0,0.0%,23.74
7,2016-10-30,GNB,ATL,L 32-33,QB,9,11,36,4,1,3,0,6,7,0,4,0,0,0,62,100.0%,0,0.0%,0,0.0%,33.84
