G#,Date,Tm,Opp,Result,Pos,Cmp,Att,Yds,TD,Att,Yds,TD,Cmp,Att,Yds,TD,Att,Yds,TD,Num,Pct,Num,Pct,Num,Pct,FantPt
1,2015-09-13,CAR,JAX,W 20-9,QB,3,6,24,1,2,5,0,1,1,0,1,1,2,0,71,100.0%,0,0.0%,0,0.0%,12.5
2,2015-09-20,CAR,HOU,W 24-17,QB,1,3,7,0,2,5,1,0,0,0,0,1,2,1,78,100.0%,0,0.0%,0,0.0%,27.4
3,2015-09-27,CAR,NOR,W 27-22,QB,3,5,37,2,2,14,1,0,2,0,0,1,1,0,66,100.0%,0,0.0%,0,0.0%,29.9
4,2015-10-04,CAR,TAM,W 37-23,QB,4,9,30,2,2,-1,0,2,6,0,1,1,-8,0,58,100.0%,0,0.0%,0,0.0%,16.06
5,2015-10-18,CAR,SEA,W 27-23,QB,0,0,0,0,1,2,1,0,0,0,0,1,2,1,73,100.0%,0,0.0%,0,0.0%,19.76
6,2015-10-25,CAR,PHI,W 27-16,QB,1,3,2,1,1,2,1,1,1,0,1,1,2,1,61,100.0%,0,0.0%,0,0.0%,13.88
7,2015-11-02,CAR,IND,W 29-26,QB,1,2,8,1,4,14,0,1,1,0,1,2,5,0,75,100.0%,0,0.0%,0,0.0%,18.02
8,2015-11-08,CAR,GNB,W 37-29,QB,4,7,30,2,2,8,1,1,3,0,1,1,1,1,67,100.0%,0,0.0%,0,0.0%,33.58
9,2015-11-15,CAR,TEN,W 27-10,QB,3,3,9,1,2,6,1,2,2,1,1,2,6,1,68,100.0%,0,0.0%,0,0.0%,20.98
10,2015-11-22,CAR,WAS,W 44-16,QB,7,11,38,5,1,2,0,5,8,1,4,1,2,0,71,92.2%,0,0.0%,0,0.0%,31.44
11,2015-11-26,CAR,DAL,W 33-14,QB,2,6,23,0,1,4,1,0,3,0,0,1,4,1,69,100.0%,0,0.0%,0,0.0%,17.82
12,2015-12-06,CAR,NOR,W 41-38,QB,5,6,50,4,3,-1,0,1,1,0,0,2,-2,0,81,100.0%,0,0.0%,0,0.0%,36.14
13,2015-12-13,CAR,ATL,W 38-0,QB,1,3,4,1,0,0,0,1,2,0,1,0,0,0,48,73.8%,0,0.0%,0,0.0%,23
14,2015-12-20,CAR,NYG,W 38-35,QB,5,9,50,3,0,0,0,1,2,0,1,0,0,0,77,100.0%,0,0.0%,0,0.0%,41.6
15,2015-12-27,CAR,ATL,L 13-20,QB,0,1,0,0,3,9,1,0,0,0,0,1,8,1,52,100.0%,0,0.0%,0,0.0%,14.28
16,2016-01-03,CAR,TAM,W 38-10,QB,3,3,21,1,3,3,2,1,1,0,0,2,2,2,62,96.9%,0,0.0%,0,0.0%,32.72
1,2016-09-08,CAR,DEN,L 20-21,QB,3,4,29,1,1,2,1,0,0,0,0,1,2,1,73,100.0%,0,0.0%,0,0.0%,21.16
2,2016-09-18,CAR,SFO,W 46-27,QB,3,4,35,3,1,0,0,1,2,0,1,0,0,0,83,100.0%,0,0.0%,0,0.0%,29.82
3,2016-09-25,CAR,MIN,L 10-22,QB,0,0,0,0,1,3,1,0,0,0,0,1,3,1,76,98.7%,0,0.0%,0,0.0%,13.08
4,2016-10-02,CAR,ATL,L 33-48,QB,1,1,6,1,0,0,0,1,1,0,1,0,0,0,42,59.2%,0,0.0%,0,0.0%,15.60
6,2016-10-16,CAR,NOR,L 38-41,QB,3,8,34,2,1,2,1,1,1,1,1,1,2,1,81,100.0%,0,0.0%,0,0.0%,26.98
7,2016-10-30,CAR,ARI,W 30-20,QB,1,3,11,0,5,15,0,0,1,0,0,3,7,0,67,100.0%,0,0.0%,0,0.0%,12.78
8,2016-11-06,CAR,LAR,W 13-10,QB,1,4,9,1,0,0,0,1,1,0,1,0,0,0,64,100.0%,0,0.0%,0,0.0%,14.60
9,2016-11-13,CAR,KAN,L 17-20,QB,1,1,11,0,1,4,1,0,0,0,0,1,4,1,73,100.0%,0,0.0%,0,0.0%,23.84
10,2016-11-17,CAR,NOR,W 23-20,QB,1,6,10,0,1,-8,0,0,1,0,0,1,-8,0,62,100.0%,0,0.0%,0,0.0%,12.38
11,2016-11-27,CAR,OAK,L 32-35,QB,1,1,13,0,1,3,1,0,0,0,0,1,3,1,65,100.0%,0,0.0%,0,0.0%,20.44
12,2016-12-04,CAR,SEA,L 7-40,QB,0,3,0,0,1,-2,0,0,0,0,0,0,0,0,57,98.3%,0,0.0%,0,0.0%,12.48
13,2016-12-11,CAR,SDG,W 28-16,QB,1,7,6,1,2,12,0,1,5,0,1,1,8,0,68,98.6%,0,0.0%,0,0.0%,11.50
14,2016-12-19,CAR,WAS,W 26-15,QB,3,6,7,1,0,0,0,2,2,1,1,0,0,0,73,100.0%,0,0.0%,0,0.0%,20.00
15,2016-12-24,CAR,ATL,L 16-33,QB,0,5,0,0,1,5,0,0,0,0,0,0,0,0,69,100.0%,0,0.0%,0,0.0%,11.52
16,2017-01-01,CAR,TAM,L 16-17,QB,3,7,21,1,1,-2,0,1,1,0,1,0,0,0,70,100.0%,0,0.0%,0,0.0%,8.08
1,2017-09-10,CAR,SFO,W 23-3,QB,1,2,9,1,1,1,0,1,1,0,1,1,1,0,67,100.0%,0,0.0%,0,0.0%,13.14
