"name","pos","sourceName","name_espn","team_espn","positionRank","overallRank","points","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds"
"JIMMYGAROPPOLO","QB","espn","Jimmy Garoppolo","NE",1,76,"66.9",141.9,85.7,945.3,7.3,3.7,15.7,62.6,0.5,0,0,0
"PAXTONLYNCH","QB","espn","Paxton Lynch","DEN",2,78,"65.5",174.6,99.3,1151.7,6.1,5.5,14.4,56.6,0.5,0,0,0
"DREWSTANTON","QB","espn","Drew Stanton","ARZ",3,90,"6.3",15.7,8.9,103.3,0.8,0.4,0.9,3.5,0,0,0,0
"TOMSAVAGE","QB","espn","Tom Savage","HOU",4,117,"5.3",16.6,9.3,106.9,0.7,0.6,0.4,1.5,0,0,0,0
"JAREDGOFF","QB","espn","Jared Goff","LA",5,123,"47.3",159.5,89.1,956.2,4.2,6.1,12.2,46.6,0.5,0,0,0
"EJMANUEL","QB","espn","EJ Manuel","BUF",6,142,"4.8",14,8.2,94.5,0.6,0.4,1,3.8,0,0,0,0
"MATTCASSEL","QB","espn","Matt Cassel","TEN",7,145,"4.2",14,8.5,95.3,0.6,0.5,0.8,3.1,0,0,0,0
"CAMNEWTON","QB","espn","Cam Newton","CAR",8,160,"336.1",526.5,304.6,3799,28.1,13,125.2,681.8,5.7,0,0,0
"AARONRODGERS","QB","espn","Aaron Rodgers","GB",9,163,"311",559,352,4213.1,32.4,7.4,51.2,237.4,1.5,0,0,0
"RUSSELLWILSON","QB","espn","Russell Wilson","SEA",10,166,"305.1",476.1,299.4,3736.6,29.1,10,95.6,495.3,2.6,0,0,0
"ANDREWLUCK","QB","espn","Andrew Luck","IND",11,172,"295.2",624.6,360.1,4362.9,31.8,19.1,64.8,263.6,1.7,0,0,0
"DREWBREES","QB","espn","Drew Brees","NO",12,173,"290.8",657.2,440.3,4757.5,31.3,15.4,21.7,35.5,0.9,0,0,0
"BENROETHLISBERGER","QB","espn","Ben Roethlisberger","PIT",13,176,"282.1",576.1,380.2,4543.7,28.5,12.7,28,67.5,0.7,0,0,0
"KIRKCOUSINS","QB","espn","Kirk Cousins","WAS",14,177,"281.8",600.2,388.6,4510.6,29.5,13.2,38.1,117.2,1.4,0,0,0
"MATTHEWSTAFFORD","QB","espn","Matthew Stafford","DET",15,178,"280.3",633,411.9,4642.9,25.1,13.4,39.6,135.3,1.9,0,0,0
"COLINKAEPERNICK","QB","espn","Colin Kaepernick","SF",16,180,"28.4",73.8,41.5,456.6,2.2,1.6,12.4,44.7,0.3,0,0,0
