G#,Date,Tm,Opp,Result,Pos,Ins_20_Pass_Cmp,Ins_20_Pass_Att,Ins_20_Pass_Yds,Ins_20_Pass_TD,Ins_20_Rush_Att,Ins_20_Rush_Yds,Ins_20_Rush_TD,Ins_10_Pass_Cmp,Ins_10_Pass_Att,Ins_10_Pass_Yds,Ins_10_Pass_TD,Ins_10_Rush_Att,Ins_10_Rush_Yds,Ins_10_Rush_TD,Off_Snap_Num,Off_Snap_Pct,Def_Snap_Num,Def_Snap_Pct,ST_Snap_Num,ST_Snap_Pct,FantPt
1,2012-09-09,ATL,KAN,W 40-24,QB,6,10,48,3,1,5,1,2,5,0,2,1,5,1,55,100.0%,0,0.0%,0,0.0%,32.46
2,2012-09-17,ATL,DEN,W 27-21,QB,4,6,13,2,1,4,0,2,2,1,2,0,0,0,67,100.0%,0,0.0%,0,0.0%,18.66
3,2012-09-23,ATL,SDG,W 27-3,QB,4,6,30,3,0,0,0,3,5,0,3,0,0,0,69,95.8%,0,0.0%,0,0.0%,21.4
4,2012-09-30,ATL,CAR,W 30-28,QB,2,6,11,1,0,0,0,0,2,0,0,0,0,0,70,100.0%,0,0.0%,0,0.0%,24.76
5,2012-10-07,ATL,WAS,W 24-17,QB,3,3,16,2,0,0,0,1,1,1,1,0,0,0,83,100.0%,0,0.0%,0,0.0%,18.5
6,2012-10-14,ATL,OAK,W 23-20,QB,1,2,4,1,0,0,0,1,2,0,1,0,0,0,55,100.0%,0,0.0%,0,0.0%,9.46
7,2012-10-28,ATL,PHI,W 30-17,QB,6,8,39,2,0,0,0,1,1,0,1,0,0,0,75,100.0%,0,0.0%,0,0.0%,24.28
8,2012-11-04,ATL,DAL,W 19-13,QB,1,3,8,0,0,0,0,0,0,0,0,0,0,0,67,100.0%,0,0.0%,0,0.0%,14.48
9,2012-11-11,ATL,NOR,L 27-31,QB,7,11,36,3,0,0,0,4,8,1,3,0,0,0,73,100.0%,0,0.0%,0,0.0%,26.64
10,2012-11-18,ATL,ARI,W 23-19,QB,2,4,9,0,0,0,0,0,0,0,0,0,0,0,73,100.0%,0,0.0%,0,0.0%,1.74
11,2012-11-25,ATL,TAM,W 24-23,QB,4,7,25,0,1,13,0,0,3,0,0,0,0,0,60,100.0%,0,0.0%,0,0.0%,15.42
12,2012-11-29,ATL,NOR,W 23-13,QB,1,3,17,1,0,0,0,0,0,0,0,0,0,0,58,100.0%,0,0.0%,0,0.0%,10.4
13,2012-12-09,ATL,CAR,L 20-30,QB,5,9,43,2,0,0,0,1,3,0,1,0,0,0,65,100.0%,0,0.0%,0,0.0%,19.68
14,2012-12-16,ATL,NYG,W 34-0,QB,3,3,12,2,0,0,0,2,2,0,1,0,0,0,61,89.7%,0,0.0%,0,0.0%,22.7
15,2012-12-22,ATL,DET,W 31-18,QB,5,6,42,2,0,0,0,1,2,1,1,0,0,0,56,100.0%,0,0.0%,0,0.0%,29.66
16,2012-12-30,ATL,TAM,L 17-22,QB,1,5,7,1,1,6,0,1,3,0,1,0,0,0,63,100.0%,0,0.0%,0,0.0%,14.62
1,2013-09-08,ATL,NOR,L 17-23,QB,3,8,15,2,0,0,0,3,8,0,2,0,0,0,56,100.0%,0,0.0%,0,0.0%,19.36
