G#,Date,Tm,Opp,Result,Pos,Ins_20_Pass_Cmp,Ins_20_Pass_Att,Ins_20_Pass_Yds,Ins_20_Pass_TD,Ins_20_Rush_Att,Ins_20_Rush_Yds,Ins_20_Rush_TD,Ins_10_Pass_Cmp,Ins_10_Pass_Att,Ins_10_Pass_Yds,Ins_10_Pass_TD,Ins_10_Rush_Att,Ins_10_Rush_Yds,Ins_10_Rush_TD,Off_Snap_Num,Off_Snap_Pct,Def_Snap_Num,Def_Snap_Pct,ST_Snap_Num,ST_Snap_Pct,FantPt
1,9/9/2012,ATL,KAN,W 40-24,QB,6,10,48,3,1,5,1,2,5,0.00,2,1.00,5,1.00,55,1.00,0,0.00,0,0.00,32.46
2,9/17/2012,ATL,DEN,W 27-21,QB,4,6,13,2,1,4,0,2,2,1.00,2,0.00,0,0.00,67,1.00,0,0.00,0,0.00,18.66
3,9/23/2012,ATL,SDG,W 27-3,QB,4,6,30,3,0,0,0,3,5,0.00,3,0.00,0,0.00,69,0.96,0,0.00,0,0.00,21.4
4,9/30/2012,ATL,CAR,W 30-28,QB,2,6,11,1,0,0,0,0,2,0.00,0,0.00,0,0.00,70,1.00,0,0.00,0,0.00,24.76
5,10/7/2012,ATL,WAS,W 24-17,QB,3,3,16,2,0,0,0,1,1,1.00,1,0.00,0,0.00,83,1.00,0,0.00,0,0.00,18.5
6,10/14/2012,ATL,OAK,W 23-20,QB,1,2,4,1,0,0,0,1,2,0.00,1,0.00,0,0.00,55,1.00,0,0.00,0,0.00,9.46
7,10/28/2012,ATL,PHI,W 30-17,QB,6,8,39,2,0,0,0,1,1,0.00,1,0.00,0,0.00,75,1.00,0,0.00,0,0.00,24.28
8,11/4/2012,ATL,DAL,W 19-13,QB,1,3,8,0,0,0,0,0,0,0.00,0,0.00,0,0.00,67,1.00,0,0.00,0,0.00,14.48
9,11/11/2012,ATL,NOR,L 27-31,QB,7,11,36,3,0,0,0,4,8,1.00,3,0.00,0,0.00,73,1.00,0,0.00,0,0.00,26.64
10,11/18/2012,ATL,ARI,W 23-19,QB,2,4,9,0,0,0,0,0,0,0.00,0,0.00,0,0.00,73,1.00,0,0.00,0,0.00,1.74
