G#,Date,Tm,Opp,Result,Pos,Cmp,Att,Yds,TD,Att,Yds,TD,Cmp,Att,Yds,TD,Att,Yds,TD,Num,Pct,Num,Pct,Num,Pct,FantPt
1,2015-09-13,SEA,STL,L 31-34,QB,5,10,25,1,2,12,0,1,4,0,1,0,0,0,81,100.0%,0,0.0%,0,0.0%,15.14
2,2015-09-20,SEA,GNB,L 17-27,QB,3,3,19,2,0,0,0,1,1,0,1,0,0,0,60,100.0%,0,0.0%,0,0.0%,22.04
3,2015-09-27,SEA,CHI,W 26-0,QB,1,6,15,0,0,0,0,0,3,0,0,0,0,0,64,100.0%,0,0.0%,0,0.0%,16.2
4,2015-10-05,SEA,DET,W 13-10,QB,0,1,0,0,0,0,0,0,1,0,0,0,0,0,65,100.0%,0,0.0%,0,0.0%,15.48
5,2015-10-11,SEA,CIN,L 24-27,QB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60,100.0%,0,0.0%,0,0.0%,12.62
6,2015-10-18,SEA,CAR,L 23-27,QB,1,2,0,0,1,1,0,0,0,0,0,0,0,0,61,100.0%,0,0.0%,0,0.0%,18.94
7,2015-10-22,SEA,SFO,W 20-3,QB,1,2,7,0,0,0,0,0,1,0,0,0,0,0,72,100.0%,0,0.0%,0,0.0%,11.4
8,2015-11-01,SEA,DAL,W 13-12,QB,0,1,0,0,2,15,0,0,1,0,0,0,0,0,62,100.0%,0,0.0%,0,0.0%,13.6
9,2015-11-15,SEA,ARI,L 32-39,QB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,61,100.0%,0,0.0%,0,0.0%,16.8
10,2015-11-22,SEA,SFO,W 29-13,QB,4,4,30,1,1,7,0,0,0,0,0,0,0,0,78,100.0%,0,0.0%,0,0.0%,25.4
11,2015-11-29,SEA,PIT,W 39-30,QB,3,3,37,3,0,0,0,1,1,0,1,0,0,0,62,100.0%,0,0.0%,0,0.0%,35.2
12,2015-12-06,SEA,MIN,W 38-7,QB,2,5,13,1,2,13,1,1,3,0,1,1,8,1,62,92.5%,0,0.0%,0,0.0%,34.06
13,2015-12-13,SEA,BAL,W 35-6,QB,4,7,52,3,0,0,0,1,2,0,1,0,0,0,62,88.6%,0,0.0%,0,0.0%,32.28
14,2015-12-20,SEA,CLE,W 30-13,QB,2,5,9,2,0,0,0,2,3,0,2,0,0,0,67,94.4%,0,0.0%,0,0.0%,26.56
15,2015-12-27,SEA,STL,L 17-23,QB,1,5,18,1,0,0,0,0,3,0,0,0,0,0,73,100.0%,0,0.0%,0,0.0%,19.36
16,2016-01-03,SEA,ARI,W 36-6,QB,2,3,15,2,2,9,0,2,2,0,2,1,0,0,59,81.9%,0,0.0%,0,0.0%,21.18
1,2016-09-11,SEA,MIA,W 12-10,QB,3,5,16,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,82,100.0%,0
2,2016-09-18,SEA,LAR,L 3-9,QB,2,4,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,67,100.0%,0
3,2016-09-25,SEA,SFO,W 37-18,QB,2,2,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,67.1%,0
4,2016-10-02,SEA,NYJ,W 27-17,QB,2,4,14,2,0,0,0,0,0,0,0,2,2,0,2,0,0,0,60,100.0%,0
5,2016-10-16,SEA,ATL,W 26-24,QB,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,100.0%,0
6,2016-10-23,SEA,ARI,T 6-6,QB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,100.0%,0
7,2016-10-30,SEA,NOR,L 20-25,QB,2,7,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,54,100.0%,0
8,2016-11-07,SEA,BUF,W 31-25,QB,2,2,35,2,1,3,1,0,0,0,0,0,0,0,0,1,3,1,47,100.0%,0
9,2016-11-13,SEA,NWE,W 31-24,QB,5,11,53,3,0,0,0,0,0,0,0,1,5,0,1,0,0,0,70,100.0%,0
10,2016-11-20,SEA,PHI,W 26-15,QB,0,5,0,0,0,0,0,1,1,15,1,0,2,0,0,0,0,0,67,100.0%,0
11,2016-11-27,SEA,TAM,L 5-14,QB,,,,,,,,,,,,,,,,,,,63,100.0%,0
12,2016-12-04,SEA,CAR,W 40-7,QB,3,10,14,1,0,0,0,0,0,0,0,2,3,2,1,0,0,0,61,85.9%,0
13,2016-12-11,SEA,GNB,L 10-38,QB,,,,,,,,,,,,,,,,,,,68,95.8%,0
14,2016-12-15,SEA,LAR,W 24-3,QB,4,5,23,2,0,0,0,0,0,0,0,2,3,1,2,0,0,0,61,100.0%,0
15,2016-12-24,SEA,ARI,L 31-34,QB,3,9,13,2,4,8,0,0,0,0,0,2,7,0,2,3,1,0,83,100.0%,0
16,2017-01-01,SEA,SFO,W 25-23,QB,2,7,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49,76.6%,0
1,2017-09-10,SEA,GNB,L 9-17,QB,1,5,8,0,0,0,0,0,2,0,0,0,0,0,49,100.0%,0,0.0%,0,0.0%,8.32
2,2017-09-17,SEA,SFO,W 12-9,QB,3,7,17,1,0,0,0,1,5,0,1,0,0,0,82,100.0%,0,0.0%,0,0.0%,15.32
3,2017-09-24,SEA,TEN,L 27-33,QB,4,10,30,3,1,3,0,2,5,0,2,0,0,0,73,100.0%,0,0.0%,0,0.0%,33.52
4,2017-10-01,SEA,IND,W 46-18,QB,1,1,6,1,0,0,0,1,1,0,1,0,0,0,68,100.0%,0,0.0%,0,0.0%,27.6
5,2017-10-08,SEA,LAR,W 16-10,QB,3,4,13,1,0,0,0,1,1,0,1,0,0,0,68,100.0%,0,0.0%,0,0.0%,11.52
6,2017-10-22,SEA,NYG,W 24-7,QB,4,7,7,1,1,3,0,3,6,2,1,0,0,0,75,98.7%,0,0.0%,0,0.0%,26.36
7,2017-10-29,SEA,HOU,W 41-38,QB,6,9,50,3,0,0,0,3,6,1,2,0,0,0,69,100.0%,0,0.0%,0,0.0%,35.08
8,2017-11-05,SEA,WAS,L 14-17,QB,1,1,10,0,0,0,0,0,0,0,0,0,0,0,83,100.0%,0,0.0%,0,0.0%,23.58
9,2017-11-09,SEA,ARI,W 22-16,QB,3,4,14,2,0,0,0,2,2,0,2,0,0,0,62,98.4%,0,0.0%,0,0.0%,19.42
10,2017-11-20,SEA,ATL,L 31-34,QB,4,11,31,1,1,1,1,2,3,0,1,1,1,1,74,100.0%,0,0.0%,0,0.0%,30.92
11,2017-11-26,SEA,SFO,W 24-13,QB,2,2,18,2,2,5,1,1,1,1,1,1,2,1,68,100.0%,0,0.0%,0,0.0%,23.62
12,2017-12-03,SEA,PHI,W 24-10,QB,3,4,27,3,0,0,0,1,2,1,1,0,0,0,62,100.0%,0,0.0%,0,0.0%,24.18
13,2017-12-10,SEA,JAX,L 24-30,QB,0,2,0,0,0,0,0,0,0,0,0,0,0,0,62,100.0%,0,0.0%,0,0.0%,21.84
